x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,17-0-255,x,x,17-0-255,x,x,x,x,x,x,x
x,x,x,x,x,x,17-0-255,x,x,17-0-255,x,x,x,x,x,x,x
x,x,x,x,x,x,17-0-255,17-0-255,17-0-255,17-0-255,x,x,x,x,x,x,x
x,x,x,x,x,17-0-255,245-255-0,17-0-255,17-0-255,245-255-0,17-0-255,x,x,x,x,x,x
x,x,x,x,x,17-0-255,17-0-255,17-0-255,17-0-255,17-0-255,17-0-255,x,x,x,x,x,x
x,x,x,x,17-0-255,17-0-255,17-0-255,17-0-255,17-0-255,17-0-255,17-0-255,17-0-255,x,x,x,x,x
x,x,x,x,17-0-255,17-0-255,17-0-255,x,x,17-0-255,17-0-255,17-0-255,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
