x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x,x,x
x,x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,0-0-0,253-221-202,x,x,x,x,x
x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,0-0-0,253-221-202,253-221-202,253-221-202,x,x,x
x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,0-0-0,253-221-202,253-221-202,253-221-202,x,x
x,x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,0-0-0,0-0-0,0-0-0,0-0-0,x,x,x
x,x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x,x
x,x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x,x,x,x
x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x,x,x
x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x,x
x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x
x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x
x,x,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x
x,x,x,x,253-221-202,253-221-202,253-221-202,x,x,253-221-202,253-221-202,253-221-202,x,x,x,x,x
x,x,x,253-221-202,253-221-202,253-221-202,x,x,x,x,253-221-202,253-221-202,253-221-202,x,x,x,x
x,x,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x,x,253-221-202,253-221-202,253-221-202,253-221-202,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
