x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,0-90-130,0-90-130,0-90-130,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,0-90-130,x,x,230-188-133,0-90-130,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,0-90-130,x,x,x,x,230-188-133,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,0-90-130,x,x,x,x,230-188-133,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,230-188-133,x,0-90-130,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,230-188-133,x,0-90-130,0-90-130,0-90-130,0-90-130,x,x,x,x,x,x,x
x,x,x,x,x,x,x,230-188-133,230-188-133,x,x,x,x,0-90-130,0-90-130,0-90-130,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,230-188-133,x,x,230-188-133,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,230-188-133,x,,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,230-188-133,230-188-133,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,230-188-133,x,230-188-133,x,230-188-133,230-188-133,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,x,x,x,x,x,230-188-133,230-188-133,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
